Codice identificativo	Regione	Nome carcere	Tipo carcere	Latitude	Longitude	Numero stanze	Stanze non disponibili	Percentuale stanze non disponibili					
MII173265	Calabria	Castrovillari	Casa circondariale	39,83602485	16,2210616	120	4	3,3					
MII178027	Lombardia	Lodi	Casa circondariale	45,3138959	9,503263	30	1	3,3					
MII179932	Toscana	Porto Azzurro	Casa di reclusione	42,7655212	10,40289057	306	10	3,3					
MII173324	Calabria	Crotone	Casa circondariale	39,0806223	17,127196	33	1	3					
MII179290	Veneto	Padova	Casa circondariale	45,4451533	11,84137093	68	2	2,9					
MII173813	Sicilia	Enna	Casa circondariale	37,5667573	14,2807473	79	2	2,5					
MII178501	Lombardia	Milano San Vittore femminile	Casa circondariale	45,4615979	9,16639949	40	1	2,5					
MII176749	Liguria	Imperia	Casa circondariale	43,8862958	8,0267106	41	1	2,4					
MII179856	Sicilia	Piazza Armerina	Casa circondariale	37,385946	14,367174	42	1	2,4					
MII173285	Sicilia	Catania Bicocca	Casa circondariale	37,50570535	14,94420233	127	3	2,4					
MII160204	Campania	Benevento	Casa circondariale	41,1295587	14,7824639	230	5	2,2					
MII181424	Piemonte	Torino	Casa circondariale	45,1013372	7,6199624	936	20	2,1					
MII179237	Lombardia	Opera	Casa di reclusione	45,373069	9,211149	818	17	2,1					
MII172277	Puglia	Altamura	Casa di reclusione	40,8283631	16,5523505	51	1	2					
MII180465	Liguria	Sanremo	Casa di reclusione	43,8198253	7,7748827	109	2	1,8					
MII179830	Abruzzo	Pescara	Casa circondariale	42,4506322	14,215016	110	2	1,8					
MII181636	Trentino-Alto Adige	Trento	Casa circondariale	46,1268099	11,09424056	170	3	1,8					
MII179331	Lazio	Paliano	Casa di reclusione	41,8060233	13,0580683	57	1	1,8					
MII178672	Campania	Napoli Secondigliano	Casa circondariale	40,9104776	14,24587204	844	13	1,5					
MII181358	Umbria	Spoleto	Casa di reclusione	42,78113085	12,72710874	403	6	1,5					
MII172508	Emilia-Romagna	Bologna	Casa circondariale	44,4936714	11,3430347	446	6	1,3					
MII158910	Sicilia	Agrigento	Casa circondariale	37,31942185	13,61739575	247	3	1,2					
MII179842	Emilia-Romagna	Piacenza	Casa circondariale	45,0534751	9,6947461	275	3	1,1					
MII179958	Toscana	Prato	Casa circondariale	43,9034549	11,0644075	299	3	1					
MII179306	Sicilia	Palermo Pagliarelli	Casa circondariale	38,09077025	13,33932043	735	7	1					
MII177134	Abruzzo	L'Aquila	Casa circondariale	42,3489203	13,3979672	216	2	0,9					
MII179818	Marche	Pesaro	Casa circondariale	43,8735952	12,85524221	124	1	0,8					
MII172332	Piemonte	Biella	Casa circondariale	45,5664109	8,0542758	258	2	0,8					
MII181371	Abruzzo	Sulmona	Casa di reclusione	42,0685398	13,9279741	299	2	0,7					
MII178659	Lombardia	Monza	Casa circondariale	45,5604241	9,28125258	317	2	0,6					
MII180401	Lazio	Roma Regina Coeli	Casa circondariale	41,8952204	12,46386051	323	2	0,6					
MII159069	Piemonte	Asti	Casa di reclusione	44,900542	8,2068876	190	1	0,5					
MII172827	Lombardia	Bergamo	Casa circondariale	45,7566557	9,7542192	192	1	0,5					
MII173712	Lombardia	Como	Casa circondariale	45,9394759	9,14941015	200	1	0,5					
MII181392	Abruzzo	Teramo	Casa circondariale	42,6612893	13,6983524	239	1	0,4					
MII158924	Piemonte	Alessandria San Michele	Casa di reclusione	44,9129225	8,615321	241	1	0,4					
MII178638	Emilia-Romagna	Modena	Casa circondariale	44,67086	10,9190707	264	1	0,4					
MII181091	Sardegna	Sassari	Casa circondariale	40,72020106	8,55148315	292	1	0,3					
MII182910	Lombardia	Pavia	Casa circondariale	45,2073703	9,17887325	298	1	0,3					
MII172344	Lombardia	Bollate	Casa di reclusione	45,543835	9,1177075	707	1	0,1					
MII152284	Liguria	Genova Marassi	Casa circondariale	44,4179134	8,9511004	213	0	0					
MII158935	Sardegna	Alghero	Casa di reclusione	40,5600205	8,3151473	62	0	0					
MII158941	Marche	Ancona Montacuto	Casa circondariale	43,61934	13,52788	111	0	0					
